Question Number|Question|Choices|Correct Answer|Translation
20|"Η πόλη « φάντασμα » ονομάζεται."|"Α) Πάφος, Β) Λευκωσία, Γ) Λάρνακα, Δ) καμία από τις παραπάνω"|3|"Город-призрак называется ____. А) Пафос, В) Никосия, Г) Ларнака, Д) ни один из вышеупомянутых"
21|"Ποια επαρχία δεν υπάρχει."|"Α) Επαρχία Αμμοχώστου, Β) Επαρχία Τροόδους, Γ) Επαρχία Λεμεσού, Δ) Επαρχία Πάφου"|1|"Какой провинции не существует? А) Провинция Фамагусты, В) Провинция Троодос, Г) Провинция Лимасол, Д) Провинция Пафос"
22|"Σε ποια επαρχία βρίσκεται το Όμοδος;"|"Α) Επαρχία Λευκωσίας, Β) Επαρχία Λεμεσού, Γ) Επαρχία Λάρνακας"|1|"В какой провинции находится Омодос? А) Провинция Никосия, В) Провинция Лимасол, Г) Провинция Ларнака"
23|"Ποια είναι η μεγαλύτερη επαρχία σε πληθυσμό;"|"Α) Επαρχία Λευκωσίας, Β) Επαρχία Λεμεσού, Γ) Επαρχία Λάρνακας"|0|"Какая провинция самая большая по численности населения? А) Провинция Никосия, В) Провинция Лимасол, Г) Провинция Ларнака"
24|"Η οδός Λήδρας είναι."|"Α) χωριό, Β) αυτοκινητόδρομος, Γ) πεζόδρομος"|2|"Улица Лидра является ____. А) деревней, В) шоссе, Г) пешеходной улицей"
25|"Τα οχήματα μπορούν να περνάνε από το οδόφραγμα Λήδρας."|"Α) Σωστό, Β)Λάθος"|1|"Транспортные средства могут проходить через блокпост на улице Лидра. А) Правда, В) Ложь"
26|"Οι περισσότεροι Κύπριοι είναι."|"Α) μαρωνίτες, Β) μουσουλμάνοι, Γ) χριστιανοί ορθόδοξοι"|0|"Большинство киприотов являются ____. А) маронитами, В) мусульманами, Г) православными христианами"
27|"Ποια από τις πιο κάτω δεν είναι πόλη;"|"Α) Αραδίππου, Β) Λάρνακα, Γ) Πάφος"|0|"Что из перечисленного не является городом? А) Арадипу, В) Ларнака, Г) Пафос"
28|"Σε ποια πόλη βρισκόταν το πρώτο διεθνές αεροδρόμιο της Κύπρου;"|"Α) Λάρνακα, Β) Λευκωσία, Γ) Πάφος"|0|"В каком городе находился первый международный аэропорт Кипра? А) Ларнака, В) Никосия, Г) Пафос"
29|"Ποιο χωριό δεν ανήκει στην επαρχία Λευκωσίας;"|"Α) η Κακοπετριά, Β) το Δάλι, Γ) το Γέρι, Δ) ο Ψευδάς"|3|"Какое село не относится к провинции Никосия? А) Какопетрия, В) Дали, Г) Гери, Д) Псевдас"
30|"Τα Ενετικά Τείχη βρίσκονται στην."|"Α) Λάρνακα, Β) Λευκωσία, Γ) Πάφο"|1|"Венецианские стены находятся в ____. А) Ларнака, В) Никосия, Г) Пафос"
31|"Ποια είναι η γεωγραφική τοποθεσία των Λευκάρων στην Κύπρο;"|"Α) στη Λεμεσό, Β) στην Πάφο, Γ) στη Λάρνακα, Δ) στη Λευκωσία"|2|"Какое географическое расположение Лефкары на Кипре? А) Лимасол, В) Пафос, Г) Ларнака, Д) Никосия"
32|"Σε ποια επαρχία ανήκει η Μονή Κύκκου;"|"Α) Επαρχία Λεμεσού, Β) Επαρχία Πάφου, Γ) Επαρχία Λευκωσίας"|2|"В какой провинции находится монастырь Киккос? А) Провинция Лимасол, В) Провинция Пафос, Г) Провинция Никосия"
