Question Number|Question|Choices|Correct Answer|Translation
11|"Ποιοι πολίτες έχουν το δικαίωμα να ψηφίσουν στις εκλογές του προέδρου της Κύπρου αν έχουν εγκαταλείψει τη χώρα για εργασία ή σπουδές;"|"Α) Όλοι οι Κύπριοι πολίτες, Β) Μόνο οι πολίτες της Ευρωπαϊκής Ένωσης, Γ) Μόνο οι πολίτες που διαμένουν σε συγκεκριμένες χώρες, Δ) Κανένας πολίτης δεν έχει το δικαίωμα να ψηφίσει αν έχει εγκαταλείψει τη χώρα"|0|"Кто имеет право голосовать на выборах президента Кипра, если они уехали из страны для работы или учебы? А) Все граждане Кипра, В) Только граждане ЕС, Г) Только граждане, проживающие в определенных странах, Д) Никто не имеет права голосовать, если покинул страну"
12|"Ποια ήταν η ημερομηνία του πραξικοπήματος στην Κύπρο το 1974;"|"Α) 15 Ιουλίου 1974, Β) 20 Ιουλίου 1974, Γ) 25 Ιουλίου 1974, Δ) 30 Ιουλίου 1974"|1|"Какая дата переворота на Кипре в 1974 году? А) 15 июля 1974 года, В) 20 июля 1974 года, Г) 25 июля 1974 года, Д) 30 июля 1974 года"
13|"Ποια χώρα εμπλέκεται στο πραξικόπημα του 1974 στην Κύπρο;"|"Α) Ελλάδα, Β) Τουρκία, Γ) Ηνωμένο Βασίλειο, Δ) Ηνωμένες Πολιτείες"|0|"Какая страна была вовлечена в переворот на Кипре в 1974 году? А) Греция, В) Турция, Г) Великобритания, Д) Соединенные Штаты"
14|"Ποια είναι η κύρια αιτία που οδήγησε στο πραξικόπημα του 1974 στην Κύπρο;"|"Α) Εθνοτικές διαφορές μεταξύ Ελληνοκυπρίων και Τουρκοκυπρίων, Β) Οικονομική κρίση στην Κύπρο, Γ) Εξωτερικές πιέσεις από την Ευρωπαϊκή Ένωση, Δ) Συνθήκες αστάθειας στην περιοχή της Μεσογείου"|0|"Какова основная причина переворота на Кипре в 1974 году? А) Этнические различия между греко-киприотами и турко-киприотами, В) Экономический кризис на Кипре, Г) Внешнее давление со стороны Европейского Союза, Д) Условия нестабильности в районе Средиземного моря"
15|"Πότε εγκρίθηκε το Σύνταγμα της Κύπρου;"|"Α) Το 1960, Β) Το 1974, Γ) Το 1983, Δ) Το 1990"|0|"Когда была принята Конституция Кипра? А) В 1960 году, В) В 1974 году, Г) В 1983 году, Д) В 1990 году"
16|"Ποιο είναι το πολιτικό καθεστώς της Κύπρου σύμφωνα με το Σύνταγμα;"|"Α) Προεδρική δημοκρατία, Β) Παραλληλογραφή Δημοκρατία, Γ) Ομοσπονδιακή Δημοκρατία, Δ) Συνταγματική Μοναρχία"|0|"Каков политический строй Кипра согласно Конституции? А) Президентская республика, В) Параллельная республика, Г) Федеративная республика, Д) Конституционная монархия"
17|"Ποια είναι η επίσημη ονομασία των Ένοπλων Δυνάμεων της Κύπρου;"|"Α) Εθνική Φρουρά, Β) Εθνοφρουρία, Γ) Κυπριακή Αμυντική Δύναμη, Δ) Κυπριακή Φρουρά"|0|"Какое официальное название Вооруженных сил Кипра? А) Национальная гвардия, В) Этногвардия, Г) Кипрские силы обороны, Д) Кипрская гвардия"
18|"Ποιος είναι ο ρόλος του στρατού στην Κύπρο;"|"Α) Εσωτερική ασφάλεια και άμυνα της Κύπρου, Β) Διεθνής ειρήνη και ανθρωπιστική βοήθεια, Γ) Εξωτερικές επιχειρήσεις και καταπολέμηση της τρομοκρατίας, Δ) Πολιτικές αποστολές και προώθηση της διπλωματίας"|0|"Какова роль армии на Кипре? А) Внутренняя безопасность и оборона Кипра, В) Международный мир и гуманитарная помощь, Г) Внешние операции и борьба с терроризмом, Д) Политические миссии и продвижение дипломатии"
19|"Ποια είναι η ηλικία κατάταξης στην υποχρεωτική στρατιωτική θητεία στην Κύπρο;"|"Α) 18 ετών, Β) 19 ετών, Γ) 20 ετών, Δ) 21 ετών"|0|"Какой возраст призыва на обязательную военную службу на Кипре? А) 18 лет, В) 19 лет, Г) 20 лет, Д) 21 год"
20|"Ποιο είναι το κύριο έμβλημα του στρατού στην Κύπρο;"|"Α) Αετός, Β) Λεόνταυρος, Γ) Δελφίνι, Δ) Κρητικός ταύρος"|0|"Каков главный символ армии на Кипре? А) Орел, В) Леонтавр, Г) Дельфин, Д) Критский бык"
21|"Ποιο είναι το πλήρες ακρωνύμιο της ΕΟΚΑ;"|"Α) Εθνική Οργάνωση Κυπρίων Αγωνιστών, Β) Εθνική Ομάδα Κυπρίων Ανταρτών, Γ) Εθνική Οργάνωση Κυπριακής Ανεξαρτησίας, Δ) Εθνική Ομοσπονδία Κυπριακών Αθλητικών"|0|"Что означает аббревиатура ЕОКА? А) Национальная организация кипрских борцов, В) Национальная группа кипрских повстанцев, Г) Национальная организация кипрской независимости, Д) Национальная федерация кипрских спортивных ассоциаций"
22|"Πότε ιδρύθηκε η ΕΟΚΑ;"|"Α) Το 1955, Β) Το 1960, Γ) Το 1974, Δ) Το 1980"|0|"Когда была основана ЕОКА? А) В 1955 году, В) В 1960 году, Г) В 1974 году, Д) В 1980 году"
23|"Πότε ολοκληρώθηκε ο αγώνας της ΕΟΚΑ;"|"Α) Το 1959, Β) Το 1960, Γ) Το 1974, Δ) Το 1980"|0|"Когда завершилась борьба ЕОКА? А) В 1959 году, В) В 1960 году, Г) В 1974 году, Д) В 1980 году"
24|"Τι ακριβώς αναπαριστά το ακρωνύμιο ΚΕΠ;"|"Α) Κέντρο Ευημερίας Πολιτών, Β) Κέντρο Εκπαίδευσης Πολιτών, Γ) Κέντρο Επικοινωνίας Πολιτών, Δ) Κέντρο Εξυπηρέτησης Πολιτών"|3|"Что означает аббревиатура КЕП? А) Центр благосостояния граждан, В) Центр обучения граждан, Г) Центр связи с гражданами, Д) Центр обслуживания граждан"
25|"Ποιος οργανισμός είναι υπεύθυνος για τη λειτουργία των ΚΕΠ στην Κύπρο;"|"Α) Υπουργείο Εσωτερικών, Β) Υπουργείο Οικονομικών, Γ) Υπουργείο Υγείας, Δ) Υπουργείο Εργασίας"|1|"Какое учреждение отвечает за работу КЕП на Кипре? А) Министерство внутренних дел, В) Министерство финансов, Г) Министерство здравоохранения, Д) Министерство труда"
26|"Πού μπορεί κάποιος να βρει τα ΚΕΠ στην Κύπρο;"|"Α) Σε όλες τις μεγάλες πόλεις και χωριά της Κύπρου, Β) Μόνο στην πρωτεύουσα, Λευκωσία, Γ) Μόνο σε επιλεγμένες περιοχές της Κύπρου, Δ) Μόνο σε αστικές περιοχές της Κύπρου"|0|"Где можно найти КЕП на Кипре? А) Во всех крупных городах и деревнях Кипра, В) Только в столице, Никосии, Г) Только в отдельных районах Кипра, Д) Только в городских районах Кипра"
27|"Ποια είναι η λειτουργία της ΓΕΣΥ στην Κύπρο;"|"Α) Υπεύθυνη για τη διαχείριση των στρατιωτικών εγκαταστάσεων στην Κύπρο, Β) Υπεύθυνη για την παροχή υπηρεσιών υγείας στους πολίτες της Κύπρου, Γ) Υπεύθυνη για την οργάνωση και την προαγωγή του αθλητισμού στην Κύπρο, Δ) Υπεύθυνη για τη διαχείριση των κοινοτικών υπηρεσιών στην Κύπρο"|1|"Какова функция ГЕСИ на Кипре? А) Ответственна за управление военными объектами на Кипре, В) Ответственна за оказание медицинских услуг гражданам Кипра, Г) Ответственна за организацию и продвижение спорта на Кипре, Д) Ответственна за управление коммунальными услугами на Кипре"
28|"Ποιο υπουργείο είναι υπεύθυνο για την ΓΕΣΥ στην Κύπρο;"|"Α) Υπουργείο Εσωτερικών, Β) Υπουργείο Οικονομικών, Γ) Υπουργείο Εργασίας και Κοινωνικών Ασφαλίσεων, Δ) Υπουργείο Υγείας"|3|"Какое министерство отвечает за ГЕСИ на Кипре? А) Министерство внутренних дел, В) Министерство финансов, Г) Министерство труда и социального обеспечения, Д) Министерство здравоохранения"
29|"Ποιες υπηρεσίες παρέχονται από τη ΓΕΣΥ στην Κύπρο;"|"Α) Παροχή ιατρικών εξετάσεων και περίθαλψης, Β) Παροχή κοινωνικών παροχών και επιδομάτων, Γ) Παροχή εκπαιδευτικών υπηρεσιών και σεμιναρίων, Δ) Παροχή δημόσιων συγκοινωνιακών υπηρεσιών"|0|"Какие услуги предоставляет ГЕСИ на Кипре? А) Проведение медицинских осмотров и лечение, В) Предоставление социальных пособий и льгот, Г) Предоставление образовательных услуг и семинаров, Д) Предоставление услуг общественного транспорта"
30|"Πού μπορούν οι πολίτες να λάβουν πληροφορίες σχετικά με τη ΓΕΣΥ στην Κύπρο;"|"Α) Σε ιδιωτικά κέντρα υγείας, Β) Σε νοσοκομεία και κέντρα υγείας της κυβέρνησης, Γ) Στις τοπικές αυτοδιοικήσεις, Δ) Στον επίσημο ιστότοπο της ΓΕΣΥ"|3|"Где граждане могут получить информацию о ГЕСИ на Кипре? А) В частных медицинских центрах, В) В государственных больницах и медицинских центрах, Г) В местных органах самоуправления, Д) На официальном сайте ГЕСИ"
31|"Ποιος είναι ο ρόλος της Αστυνομίας στην Κύπρο;"|"Α) Προώθηση του πολιτισμού και της εκπαίδευσης, Β) Παροχή υπηρεσιών υγείας και φροντίδας των πολιτών, Γ) Διασφάλιση της δημόσιας τάξης, της ασφάλειας και της εφαρμογής του νόμου, Δ) Προώθηση του τουρισμού και της ανάπτυξης του εμπορίου"|2|"Какова роль полиции на Кипре? А) Продвижение культуры и образования, В) Оказание медицинских услуг и забота о гражданах, Г) Обеспечение общественного порядка, безопасности и соблюдения закона, Д) Продвижение туризма и развитие торговли"
32|"Πού μπορούν οι πολίτες να απευθυνθούν για να αναφέρουν ένα περιστατικό ή να ζητήσουν βοήθεια από την Αστυνομία;"|"Α) Σε καταστήματα κοινότητας, Β) Σε ιατρεία και νοσοκομεία, Γ) Σε αστυνομικά τμήματα και κεντρικό αστυνομικό σταθμό, Δ) Στο υπουργείο αστυνομίας"|2|"Куда граждане могут обратиться для сообщения о происшествии или получения помощи от полиции? А) В общественные центры, В) В клиники и больницы, Г) В полицейские участки и центральное полицейское управление, Д) В министерство полиции"
33|"Τι είναι η ΑΗΚ;"|"Α) Ο φορέας παραγωγής και διανομής ηλεκτρικής ενέργειας στην Κύπρο, Β) Μια μη κυβερνητική οργάνωση που προωθεί την αειφορία και την προστασία του περιβάλλοντος, Γ) Ένας κοινωνικός φορέας που παρέχει υπηρεσίες κοινωνικής πρόνοιας, Δ) Ένας αθλητικός σύλλογος που προάγει την άθληση και την υγεία"|0|"Что такое АИК? А) Организация по производству и распределению электроэнергии на Кипре, В) Некоммерческая организация, продвигающая устойчивое развитие и охрану окружающей среды, Г) Социальная организация, предоставляющая услуги социального обеспечения, Д) Спортивный клуб, продвигающий спорт и здоровье"
34|"Ποιες είναι οι βασικές αρμοδιότητες της ΑΗΚ;"|"Α) Παραγωγή, διανομή και πώληση ηλεκτρικής ενέργειας στην Κύπρο, Β) Παροχή ιατροφαρμακευτικών υπηρεσιών στους πολίτες, Γ) Παροχή εκπαιδευτικών υπηρεσιών σε φοιτητές και εργαζόμενους, Δ) Οργάνωση αθλητικών εκδηλώσεων και αγώνων"|0|"Каковы основные обязанности АИК? А) Производство, распределение и продажа электроэнергии на Кипре, В) Предоставление медицинских и фармацевтических услуг гражданам, Г) Предоставление образовательных услуг студентам и работникам, Д) Организация спортивных мероприятий и соревнований"
35|"Πού μπορούν οι κάτοικοι της Κύπρου να απευθυνθούν για να λύσουν θέματα ηλεκτροδότησης ή να υποβάλουν προβλήματα στην ΑΗΚ;"|"Α) Σε τοπικά καταστήματα ψιλικών και μίνι μάρκετ, Β) Στο υπουργείο ενέργειας και υδροκαρβυκών, Γ) Στα επαρχιακά γραφεία της ΑΗΚ, Δ) Στο κοινοβούλιο της Κύπρου"|2|"Куда могут обратиться жители Кипра для решения вопросов электроснабжения или подачи жалоб в АИК? А) В местные магазины и мини-маркеты, В) В министерство энергетики и углеводородов, Г) В районные офисы АИК, Д) В парламент Кипра"
36|"Ποιες είναι οι βασικές υπηρεσίες που προσφέρει το Ταχυδρομείο στην Κύπρο;"|"Α) Παράδοση γραμμάτων και δέματων, Β) Παροχή τηλεπικοινωνιακών υπηρεσιών, Γ) Παροχή υπηρεσιών ταχυδρομικής τραπεζικής, Δ) Παροχή υπηρεσιών κοινωνικής πρόνοιας"|0|"Каковы основные услуги, предоставляемые Почтой Кипра? А) Доставка писем и посылок, В) Предоставление телекоммуникационных услуг, Г) Предоставление почтовых банковских услуг, Д) Предоставление услуг социального обеспечения"
37|"Ποια είναι η κανονική διαδικασία παραλαβής ενός πακέτου από το Ταχυδρομείο;"|"Α) Προσέλευση στο τοπικό γραφείο του Ταχυδρομείου με την επίδειξη ταυτότητας, Β) Προσέλευση στον κεντρικό χώρο ταχυδρομικής διανομής της πόλης, Γ) Παραλαβή του πακέτου από τον υπάλληλο της εταιρείας μεταφορών, Δ) Παράδοση του πακέτου στον παραλήπτη μέσω ασφαλούς αποστολής"|0|"Каков стандартный процесс получения посылки на Почте? А) Посещение местного почтового отделения с удостоверением личности, В) Посещение центрального почтового распределительного пункта города, Г) Получение посылки от сотрудника транспортной компании, Д) Доставка посылки получателю через безопасную отправку"
38|"Ποιος είναι ο ρόλος της Βουλής στην Κύπρο;"|"Α) Να ασκεί τη νομοθετική εξουσία της χώρας, Β) Να διορίζει τον Πρόεδρο της Κύπρου, Γ) Να διαχειρίζεται τον εκτελεστικό κλάδο της κυβέρνησης, Δ) Να εποπτεύει τη δράση των στρατιωτικών δυνάμεων στην Κύπρο"|0|"Какова роль парламента на Кипре? А) Осуществление законодательной власти в стране, В) Назначение президента Кипра, Г) Управление исполнительной ветвью власти, Д) Контроль за действиями вооруженных сил на Кипре"
39|"Από πόσα μέλη αποτελείται η Βουλή στην Κύπρο;"|"Α) 50 μέλη, Β) 80 μέλη, Γ) 100 μέλη, Δ) 150 μέλη"|1|"Сколько членов в парламенте на Кипре? А) 50 членов, В) 80 членов, Г) 100 членов, Д) 150 членов"
40|"Ποιος είναι ο χρόνος θητείας ενός μέλους της Βουλής στην Κύπρο;"|"Α) 5 έτη, Β) 4 έτη, Γ) 6 έτη, Δ) 8 έτη"|0|"Каков срок полномочий члена парламента на Кипре? А) 5 лет, В) 4 года, Г) 6 лет, Д) 8 лет"
41|"Η πρώτη γυναίκα πρόεδρος Βουλής από την ίδρυση της Κυπριακής Δημοκρατίας το 1960 είναι."|"Α) Αννίτα Δημητρίου, Β) Άννα Δημητρίου, Γ) Αννίτα Νικολάου, Δ) Άννα Νικολάου"|0|"Первой женщиной-председателем парламента с момента основания Кипрской Республики в 1960 году является: А) Аннита Димитриу, В) Анна Димитриу, Г) Аннита Николау, Д) Анна Николау"
42|"Ποια είναι η βασική αποστολή της Πυροσβεστικής Υπηρεσίας στην Κύπρο;"|"Α) Την πρόληψη και καταπολέμηση των πυρκαγιών, Β) Την επιβολή προστίμων σε παραβάτες του κανονισμού κατά της πυρπόλησης, Γ) Την αποκατάσταση των ζημιών που προκαλούνται από πυρκαγιές, Δ) Την παροχή ιατρικής βοήθειας σε θύματα πυρκαγιών"|0|"Какова основная миссия пожарной службы на Кипре? А) Профилактика и тушение пожаров, В) Наложение штрафов на нарушителей правил противопожарной безопасности, Г) Восстановление ущерба, причиненного пожарами, Д) Оказание медицинской помощи жертвам пожаров"
43|"Ποιος είναι ο ρόλος των οργανώσεων και των αρχών στην παροχή βοήθειας στους πρόσφυγες στην Κύπρο;"|"Α) Παρέχουν οικονομική ενίσχυση και υπηρεσίες υγείας, Β) Προωθούν την ένταξη στην κοινωνία και την εκπαίδευση, Γ) Παρέχουν νομική συμβουλή και προστασία, Δ) Όλα τα παραπάνω"|3|"Какова роль организаций и властей в оказании помощи беженцам на Кипре? А) Оказание финансовой поддержки и медицинских услуг, В) Содействие интеграции в общество и образование, Г) Предоставление юридических консультаций и защиты, Д) Все вышеперечисленное"
44|"Τι εννοούμε με τον όρο 'Νεκρή Ζώνη' στην Κύπρο;"|"Α) Μια περιοχή στην Κύπρο όπου η πρόσβαση είναι απαγορευμένη, Β) Μια περιοχή στην Κύπρο με χαμηλή πυκνότητα πληθυσμού, Γ) Μια περιοχή στην Κύπρο με έντονη βιοποικιλότητα, Δ) Μια περιοχή στην Κύπρο με εμπορικές δραστηριότητες"|0|"Что подразумевается под термином 'Мертвая зона' на Кипре? А) Район на Кипре, где доступ запрещен, В) Район на Кипре с низкой плотностью населения, Г) Район на Кипре с высоким биоразнообразием, Д) Район на Кипре с коммерческой деятельностью"
45|"Ποιος ελέγχει τη Νεκρή Ζώνη στην Κύπρο;"|"Α) Η Κυπριακή Κυβέρνηση, Β) Τα Ηνωμένα Έθνη, Γ) Η Τουρκική Στρατιωτική Δύναμη, Δ) Οι τοπικές αυτοδιοικήσεις στην Κύπρο"|1|"Кто контролирует Мертвую зону на Кипре? А) Кипрское правительство, В) Организация Объединенных Наций, Г) Турецкие вооруженные силы, Д) Местные органы самоуправления на Кипре"
46|"Πότε δημιουργήθηκε η Νεκρή Ζώνη στην Κύπρο;"|"Α) Το 1964, Β) Το 1974, Γ) Το 1983, Δ) Το 1995"|0|"Когда была создана Мертвая зона на Кипре? А) В 1964 году, В) В 1974 году, Г) В 1983 году, Д) В 1995 году"
47|"Ποιες είναι οι κύριες επιπτώσεις της Νεκρής Ζώνης στην Κύπρο;"|"Α) Οικονομικές προκλήσεις και περιορισμένη πρόσβαση στους πόρους, Β) Απομόνωση και διάσπαση της κοινότητας, Γ) Επιπτώσεις στο περιβάλλον και τη βιοποικιλότητα, Δ) Όλα τα παραπάνω"|1|"Каковы основные последствия Мертвой зоны на Кипре? А) Экономические проблемы и ограниченный доступ к ресурсам, В) Изоляция и разобщенность общины, Г) Влияние на окружающую среду и биоразнообразие, Д) Все вышеперечисленное"
48|"Με ποιες συμφωνίες η Κύπρος έγινε ανεξάρτητο κράτος;"|"Α) Ζυρίχης-Λονδίνου, Β) Βρυξελλών, Γ) Γενεύης"|0|"Какими соглашениями Кипр стал независимым государством? А) Цюрих-Лондон, В) Брюссель, Г) Женева"
49|"Ποιος είναι ο σημερινός δήμαρχος της Λευκωσίας;"|"Α) Ανδρέας Βύρας, Β) Κωνσταντίνος Γιωρκάτζης, Γ) Χαράλαμπος Προύντζος, Δ) Φαίδωνας Φαίδονος"|2|"Кто является нынешним мэром Никосии? А) Андреас Вирас, В) Константинос Георкадзис, Г) Хараламбос Прунтзос, Д) Феодон Феодонис"
50|"Ποιος είναι ο σημερινός Αρχιεπίσκοπος της Κύπρου;"|"Α) Χρυσόστομος, Β) Γεώργιος, Γ) Μακάριος Γ'"|1|"Кто является нынешним архиепископом Кипра? А) Хрисостом, В) Георгий, Г) Макариос III"
51|"Ποιος είναι ο τωρινός δήμαρχος της Λεμεσού;"|"Α) Φαίδωνας Φαίδωνος, Β) Γιάννης Αρμεύτης, Γ) Νίκος Νικολαΐδης"|1|"Кто является нынешним мэром Лимасола? А) Феодон Феодонис, В) Яннис Армеутис, Г) Никос Николаидис"
52|"Πόσοι Κύπριοι εκπροσωπούν τη χώρα στο Ευρωπαικό Κοινοβούλιο;"|"Α) 2, Β) 4, Γ) 6"|2|"Сколько киприотов представляют страну в Европейском парламенте? А) 2, В) 4, Г) 6"
