Question Number|Question|Choices|Correct Answer|Translation
11|"Φέτος η τάξη μας θα κάνει ….. στη γιορτή της 28ης Οκτωβρίου. Εγώ θα είμαι στην πρώτη σειρά."|"Α) ανάσταση, Β) πάρτι, Γ) παρέλαση"|2|"В этом году наш класс будет делать ..... на празднике 28 октября. Я буду в первой шеренге: А) воскрешение, В) вечеринку, Г) парад"
12|"Την ….. μαζευόμαστε όλη η οικογένεια γύρω από το γιορτινό τραπέζι και κόβουμε τη βασιλόπιτα."|"Α) Καθαρά Δευτέρα, Β) Μεγάλη Παρασκευή, Γ) Πρωτοχρονιά"|2|"На ..... вся семья собирается вокруг праздничного стола и режет василопиту: А) Чистый понедельник, В) Великая пятница, Г) Новый год"
13|"Την …… των Χριστουγέννων τα παιδιά βγαίνουν στους δρόμους και λένε τα κάλαντα."|"Α) επόμενη, Β) αναμονή, Γ) παραμονή"|2|"В канун Рождества дети выходят на улицы и поют колядки: А) следующий день, В) ожидание, Г) канун"
14|"Το Μεγάλο Σάββατο το βράδυ όλοι βάζουμε τα καλά μας και πάμε στην εκκλησία για να γιορτάσουμε την του …. Χριστού."|"Α) Γέννηση, Β) Ανάσταση, Γ) Πρωτοχρονιά"|1|"В Великую субботу вечером мы все надеваем лучшее и идем в церковь, чтобы отпраздновать .... Христа: А) Рождение, В) Воскресение, Г) Новый год"
15|"Φέτος στις …… θέλω να ντυθώ πολεμιστής."|"Α) σερπαντίνες, Β) καρναβάλια, Γ) απόκριες"|2|"В этом году на ...... я хочу одеться как воин: А) серпантины, В) карнавалы, Г) масленица"
16|"Τον….. στο χωριό μου γίνεται ένα μεγάλο πανηγύρι στην πλατεία για να γιορτάσουμε την Παναγία."|"Α) Δεκαπενταύγουστο, Β) Πάσχα, Γ) χειμώνα"|0|"На ...... в моей деревне проводится большой праздник на площади, чтобы отпраздновать Успение: А) Успение, В) Пасха, Г) зима"
17|"Πότε είναι η σου γιορτή, Αλέξανδρε; - Στις 30 Αυγούστου. Δεν το ξέρεις; Γιορτάζουν….. όλοι οι Αλέξανδροι."|"Α) ονομαστική, Β) οικογενειακή, Γ) εθνική"|0|"Когда твой праздник, Александр? - 30 августа. Ты не знаешь? Празднуют все Александры: А) именинный, В) семейный, Г) национальный"
18|"Σήμερα έχω τα ….. μου. Γίνομαι 12 χρονών. - Α ναι; Χρόνια πολλά. Να τα εκατοστίσεις."|"Α) κάλαντα, Β) βαφτίσια, Γ) γενέθλια"|2|"Сегодня у меня ...... Мне исполнилось 12 лет. - О да? С днем рождения. Пусть тебе будет сто лет: А) колядки, В) крещение, Г) день рождения"
19|"Την Κυριακή του Πάσχα μαζευόμαστε όλοι γύρω από το γιορτινό τραπέζι, τσουγκρίζουμε τα αυγά και ευχόμαστε « »."|"Α) «Να τα εκατοστίσεις», Β) «Χριστός Ανέστη», Γ) «Να ζήσετε»"|1|"В пасхальное воскресенье мы собираемся вокруг праздничного стола, разбиваем яйца и желаем «»: А) Пусть тебе будет сто лет, В) Христос воскрес, Г) Да здравствуйте"
20|"Στις 28 … γιορτάζουμε το ΟΧΙ των Ελλήνων στους Ιταλούς."|"Α) Νοεμβρίου, Β) Μαρτίου, Γ) Οκτωβρίου"|2|"28 ...... мы празднуем НЕТ греков итальянцам: А) ноября, В) марта, Г) октября"
21|"Την Καθαρά … μου αρέσει πολύ να πηγαίνω στην εξοχή και να πετάω χαρταετό."|"Α) Δευτέρα, Β) Τρίτη, Γ) Τετάρτη"|0|"На Чистый ...... мне очень нравится выезжать на природу и запускать воздушного змея: А) понедельник, В) вторник, Г) среда"
22|"Στην Ελλάδα σαράντα μέρες πριν το Πάσχα …., δεν τρώμε δηλαδή κρέας γάλα και αυγά."|"Α) σουβλίζουμε, Β) πιστεύουμε, Γ) νηστεύουμε"|2|"В Греции за сорок дней до Пасхи мы ......, то есть не едим мясо, молоко и яйца: А) жарим, В) верим, Г) постимся"
23|"Χτες στα γενέθλια του Πέτρου …. πολύ. Φάγαμε ήπιαμε και χορέψαμε. Ήταν πολύ ωραία."|"Α) διασκεδάσαμε, Β) στεναχωρεθήκαμε, Γ) πήγαμε"|0|"Вчера на дне рождения Петра мы ...... много. Ели, пили и танцевали. Было очень хорошо: А) развлекались, В) грустили, Г) ходили"
24|"Πότε οι Κύπριοι μαγειρεύουν φλάουνες;"|"Α) το Πάσχα, Β) τα Χριστούγεννα, Γ) την Πρωτομαγιά, Δ) τον Δεκαπενταύγουστο"|0|"Когда киприоты готовят флауны? А) на Пасху, В) на Рождество, Г) на Первомай, Д) на Успение"
25|"Πώς ονομάζεται κέρμα που βάζουν στη βασιλόπιτα;"|"Α) το φλουρί, Β) το χρήμα, Γ) το λεπτό"|0|"Как называется монета, которую кладут в василопиту? А) флури, В) деньги, Г) лепто"
26|"Ποιος Άγιος σχετίζεται με την παράδοση της πίτας της Πρωτοχρονιάς;"|"Α) Άγιος Βασίλης, Β) Άγιος Νικόλαος, Γ) Άγιος Σπυρίδων, Δ) Άγιος Αντώνιος"|0|"Какой святой связан с традицией новогоднего пирога? А) Святой Василий, В) Святой Николай, Г) Святой Спиридон, Д) Святой Антоний"
27|"Πώς ονομάζεται το έθιμο της κοπής της πρωτοχρονιάτικης πίτας στην Κύπρο;"|"Α) Βασιλόπιτα, Β) Πάστα της Πρωτοχρονιάς, Γ) Κυριακάτικη πίτα, Δ) Κουγιάρ"|0|"Как называется обычай резать новогодний пирог на Кипре? А) Василопита, В) Новогодний торт, Г) Воскресный пирог, Д) Кугьяр"
28|"Ποιο από τα παρακάτω δεν αποτελεί τυπικό φαγητό για το κυπριακό Πάσχα;"|"Α) Σουβλάκι, Β) Φλάουνες, Γ) Μαγειρίτσα, Δ) Φτιτά"|3|"Что из следующего не является типичным блюдом на кипрскую Пасху? А) Шашлык, В) Флауны, Г) Магиритса, Д) Фтита"
29|"Ποιος είναι ο Κυπριακός Άγιος που γιορτάζεται από περισσότερους κατοίκους;"|"Α) Άγιος Δημήτριος, Β) Άγιος Επίφανιος, Γ) Άγιος Ανδρέας, Δ) Άγιος Βαρνάβας"|2|"Какой кипрский святой празднуется наибольшим числом жителей? А) Святой Дмитрий, В) Святой Епифаний, Г) Святой Андрей, Д) Святой Варнава"
30|"Τι σημαίνει η παράδοση της \"Κουραμπιέδες;\" "|"Α) Κατασκευή ειδικών κεραμικών αντικειμένων, Β) Ζαχαροπλαστική παρασκευή γλυκού, Γ) Κατασκευή παραδοσιακών καρβουνοκοξυλιών, Δ) Επιλογή των πιο όμορφων λουλουδιών"|1|"Что означает традиция \"Курабьедес\"? А) Изготовление специальных керамических изделий, В) Кондитерское изготовление сладостей, Г) Изготовление традиционных древесных углей, Д) Выбор самых красивых цветов"
31|"Ποιο έθιμο συνδέεται με την περίοδο της Αποκριάς στην Κύπρο;"|"Α) Κομμάτι της Πρωτοχρονιάς, Β) Κοίταγμα των αηδονιών, Γ) Συμμετοχή σε παρέες με μάσκες, Δ) Κοπή των φύλλων λουλουδιών"|2|"Какой обычай связан с периодом карнавала на Кипре? А) Частичка Нового года, В) Наблюдение за соловьями, Г) Участие в группах с масками, Д) Срезание листьев цветов"
32|"Ποιο είναι το κυπριακό γλυκό που παρασκευάζεται από γάλα, σιμιγδάλι, και ζάχαρη και συνοδεύεται συνήθως από κανέλα;"|"Α) Μαρμαλάδα, Β) Κατσουράπια, Γ) Σιαντού, Δ) Γαλακτομπούρεκο"|3|"Какой кипрский десерт готовится из молока, манной крупы и сахара и обычно сопровождается корицей? А) Мармела, В) Катсурапия, Г) Сианту, Д) Галактобуреко"
33|"Πώς ονομάζεται ο παραδοσιακός χορός που χορεύεται συνήθως στα κυπριακά γλέντια;"|"Α) Τσιφτετέλι, Β) Συρτός, Γ) Ζεϊμπέκικος, Δ) Χασάπικος"|2|"Как называется традиционный танец, который обычно танцуют на кипрских праздниках? А) Чифтетели, В) Сиртос, Г) Зейбек, Д) Хасапикос"
34|"Ποιος είναι ο ρόλος του κουμπάρου σε έναν κυπριακό γάμο;"|"Α) Να προσφέρει ένα δώρο στους νεόνυμφους, Β) Να μεταφέρει τα δαχτυλίδια του γάμου, Γ) Να διαχειρίζεται τα οικονομικά της δεξίωσης, Δ) Να είναι ο κύριος μάρτυρας"|3|"Какова роль кума на кипрской свадьбе? А) Подарить подарок новобрачным, В) Перенести обручальные кольца, Г) Управлять финансами приема, Д) Быть главным свидетелем"
35|"Ποιο είναι το παραδοσιακό ρόφημα που μπορεί να σερβιριστεί σε έναν κυπριακό γάμο;"|"Α) Καφές, Β) Τσάι με μέντα, Γ) Κυπριακός καφές, Δ) Κακάο"|2|"Какой традиционный напиток может быть подан на кипрской свадьбе? А) Кофе, В) Чай с мятой, Г) Кипрский кофе, Д) Какао"
